object number,1kind,2UG,3UR,4UI,5UZ,6GR,7GI,8GZ,9RI,10RZ,11IZ,12UGER,13URER,14UIER,15UZER,16GRER,17GIER,18GZER,19RIER,20RZER,21IZER,22contamination?,23ugal,24g gal,25r gal,26i gal,27z gal,33gal ratio,34fdistance,37HRV
104,6,0.923,1.454,1.792,2.03,0.531,0.868,1.107,0.337,0.576,0.239,0.147,0.146,0.146,0.158,0.033,0.034,0.07,0.031,0.069,0.069,0,14.8463,13.2905,12.4703,12.0406,11.8459,0.425,0.177,2757
105,7,0.772,1.019,1.14,1.097,0.248,0.369,0.325,0.121,0.077,-0.043,0.087,0.087,0.087,0.109,0.025,0.027,0.07,0.028,0.071,0.071,0,13.1748,11.8187,11.0495,10.5796,10.253,0.87,0.63,2412
106,-11,0.871,1.465,1.88,2.119,0.593,1.009,1.248,0.415,0.654,0.239,0.277,0.275,0.276,0.307,0.069,0.07,0.152,0.065,0.149,0.15,0,13.4111,11.5606,10.6907,10.2551,9.9321,0.432,0.385,638
107,6,1.364,2.001,2.307,2.396,0.637,0.943,1.032,0.306,0.395,0.089,0.113,0.113,0.113,0.121,0.02,0.02,0.047,0.019,0.046,0.046,0,14.8265,13.5167,12.4448,11.9432,12.0254,1,0.393,2871
108,7,1.329,2.033,2.365,2.557,0.705,1.037,1.228,0.332,0.523,0.192,0.101,0.101,0.101,0.105,0.016,0.017,0.032,0.015,0.031,0.031,0,13.2446,11.315,10.3973,9.9291,9.71,0.462,0.2,726
109,6,0.473,0.596,0.596,0.673,0.123,0.123,0.2,0,0.077,0.076,0.009,0.009,0.009,0.011,0.004,0.004,0.008,0.004,0.008,0.008,0,12.6644,11.7372,11.3578,11.9999,11.0903,0.774,0.104,989
110,1,1.319,1.834,2.143,2.301,0.515,0.824,0.981,0.309,0.467,0.158,0.102,0.102,0.102,0.107,0.018,0.019,0.039,0.018,0.038,0.039,0,12.925,11.6611,10.825,10.2397,9.9978,0.556,0.598,720
111,6,1.459,2.001,2.158,2.267,0.542,0.699,0.808,0.158,0.266,0.108,0.421,0.42,0.421,0.447,0.06,0.065,0.162,0.062,0.161,0.163,0,15.2766,13.6849,12.9423,12.6115,12.415,0.344,0.585,3726
112,6,0.946,1.617,1.917,2.147,0.671,0.971,1.201,0.3,0.53,0.23,0.067,0.066,0.067,0.075,0.015,0.016,0.038,0.015,0.038,0.038,0,14.1427,12.4325,11.3835,10.7199,10.5508,0.37,0.395,845
113,-11,1.014,1.484,1.964,1.68,0.47,0.95,0.666,0.48,0.196,-0.284,0.321,0.322,0.323,0.415,0.079,0.085,0.274,0.088,0.275,0.277,0,15.7714,13.7879,12.9235,12.4838,12.2248,0.84,1.062,4835
114,-11,0.549,0.957,1.401,0.658,0.408,0.852,0.109,0.444,-0.299,-0.743,0.706,0.708,0.709,0.894,0.231,0.234,0.593,0.24,0.595,0.596,0,14.4634,12.8946,12.0814,11.6509,11.2956,0.382,0.906,2135
115,7,0.923,1.241,1.562,1.714,0.318,0.639,0.79,0.321,0.472,0.151,0.466,0.468,0.471,0.576,0.123,0.132,0.357,0.141,0.361,0.364,0,14.1986,12.9322,12.1842,11.8196,11.6215,0.5,0.43,1289
116,3,1.155,1.606,1.899,2.013,0.451,0.744,0.859,0.293,0.408,0.114,0.089,0.088,0.089,0.096,0.02,0.022,0.042,0.021,0.041,0.042,0,15.2138,13.6899,12.3475,11.7191,11.335,0.282,0.592,236
117,6,1.435,2.105,2.492,2.802,0.67,1.057,1.367,0.387,0.698,0.31,0.247,0.246,0.246,0.255,0.034,0.034,0.072,0.031,0.071,0.071,0,14.9206,12.9092,12.0272,11.599,11.2538,0.875,0.395,1356
118,6,1.924,2.785,3.139,3.368,0.86,1.215,1.444,0.354,0.584,0.229,1.191,1.189,1.189,1.203,0.104,0.106,0.208,0.085,0.199,0.199,0,14.7983,12.36,11.6388,11.2053,10.9669,0.8,0.485,911
119,2,0.857,1.69,2.183,1.482,0.833,1.326,0.624,0.493,-0.208,-0.701,0.9,0.887,0.885,1.126,0.275,0.269,0.746,0.221,0.73,0.728,0,16.1665,15.177,14.7255,14.4509,14.241,0.744,1.035,2928
120,2,1.026,1.513,1.819,1.962,0.487,0.793,0.937,0.306,0.45,0.144,0.084,0.084,0.084,0.09,0.018,0.017,0.037,0.016,0.036,0.036,0,14.5616,13.279,12.472,12.0623,11.8143,0.806,0.187,2396
121,-11,1.238,1.758,2.107,2.244,0.52,0.869,1.006,0.349,0.486,0.137,0.172,0.171,0.171,0.178,0.035,0.035,0.06,0.03,0.057,0.057,0,13.6402,12.3924,11.7997,11.549,11.1353,0.793,0.615,1415
122,1,2.731,3.116,3.522,2.58,0.385,0.791,-0.151,0.406,-0.537,-0.942,0.844,0.845,0.847,1.037,0.138,0.15,0.617,0.155,0.619,0.621,0,15.5462,13.501,12.9681,12.6872,12.5793,1,0.584,954
123,8,0.912,1.297,1.471,1.488,0.385,0.559,0.576,0.174,0.191,0.017,0.07,0.069,0.07,0.082,0.02,0.023,0.048,0.022,0.048,0.049,0,13.8408,12.3209,11.4962,11.0826,10.7452,0.851,0.468,1587
124,7,0.696,0.804,1.049,-0.625,0.108,0.353,-1.32,0.245,-1.429,-1.674,0.401,0.407,0.414,0.916,0.116,0.137,0.829,0.153,0.831,0.835,0,99,99,99,99,99,0.458,0.814,1185
125,1,-3.849,-2.924,-2.56,-0.935,0.925,1.289,2.913,0.364,1.988,1.624,0.541,0.42,0.396,0.406,0.679,0.664,0.67,0.57,0.576,0.56,0,99,99,99,99,99,1,0.7,913
126,-11,1.651,2.293,2.602,2.81,0.642,0.951,1.159,0.309,0.517,0.208,0.008,0.008,0.008,0.008,0.002,0.002,0.003,0.002,0.003,0.003,0,14.3675,12.7159,12.1192,11.6146,11.3398,0.286,0.013,1675
127,1,0.567,1.112,1.336,1.567,0.545,0.769,1,0.224,0.455,0.231,0.298,0.296,0.301,0.397,0.091,0.106,0.28,0.102,0.278,0.283,0,14.95,13.1892,12.0268,11.5576,11.094,0.421,0.243,1804
128,-11,0.018,0.807,0.931,1.361,0.788,0.912,1.342,0.124,0.554,0.43,0.302,0.284,0.297,0.378,0.156,0.177,0.294,0.144,0.275,0.288,0,15.5164,14.1092,13.3215,12.9192,12.6607,0.545,0.621,5733
129,1,1.05,1.635,1.951,2.073,0.585,0.9,1.022,0.316,0.438,0.122,0.106,0.106,0.106,0.113,0.021,0.022,0.044,0.02,0.044,0.044,0,14.1132,12.738,11.904,11.4784,11.261,0.625,0.3,2226
130,6,0.41,0.853,0.886,2.318,0.443,0.476,1.908,0.033,1.465,1.432,0.68,0.685,0.726,0.718,0.253,0.349,0.333,0.36,0.344,0.42,0,15.0812,13.3101,14.4551,12.1809,12.0277,0.731,0.899,3904
131,7,0.937,1.165,1.315,1.406,0.229,0.378,0.469,0.15,0.24,0.091,0.037,0.037,0.037,0.042,0.01,0.01,0.024,0.01,0.024,0.024,0,12.2757,11.2461,10.8534,10.6266,10.5808,0.492,0.24,579
132,-11,1.325,2.046,2.507,2.208,0.721,1.182,0.884,0.461,0.163,-0.298,0.54,0.539,0.54,0.604,0.09,0.096,0.286,0.089,0.284,0.286,0,14.3086,12.4344,12.7392,11.2122,10.8651,0.709,1.014,1405
133,8,1,1.496,1.725,1.97,0.496,0.725,0.97,0.229,0.474,0.245,0.039,0.039,0.039,0.043,0.011,0.011,0.021,0.01,0.021,0.021,0,13.7819,12.6884,12.1292,11.8712,11.6687,0.11,0.186,1295
134,1,1.673,2.381,2.777,2.97,0.707,1.103,1.297,0.396,0.589,0.193,0.042,0.041,0.041,0.042,0.008,0.008,0.012,0.007,0.012,0.012,0,13.8333,11.8062,10.7167,10.1977,9.7466,0.467,0.122,1172
135,3,1.152,1.813,2.112,2.332,0.662,0.96,1.181,0.298,0.519,0.221,0.096,0.096,0.096,0.102,0.02,0.021,0.042,0.019,0.041,0.041,0,14.4808,12.8159,10.6415,11.5993,11.2015,0.75,0.32,697
136,6,1.362,2.128,2.478,2.797,0.767,1.117,1.436,0.35,0.669,0.319,0.049,0.049,0.049,0.051,0.009,0.009,0.016,0.008,0.015,0.015,0,14.6119,12.4389,11.5863,11.1615,10.7812,0.24,0.186,929
137,-11,2.004,3.081,3.643,4.042,1.077,1.639,2.038,0.562,0.961,0.399,0.04,0.04,0.04,0.04,0.005,0.005,0.007,0.004,0.006,0.006,0,13.9694,12.5518,11.6501,11.15,10.4776,0.176,0.023,1721
138,-11,1.687,2.46,2.889,3.108,0.773,1.202,1.421,0.429,0.648,0.219,0.107,0.107,0.107,0.109,0.015,0.015,0.025,0.012,0.024,0.023,0,15.2725,15.8643,11.2605,10.8064,13.3916,0.667,0.102,1156
139,1,1.033,1.447,1.69,1.716,0.414,0.657,0.683,0.243,0.269,0.027,0.138,0.138,0.139,0.161,0.029,0.033,0.088,0.033,0.088,0.09,0,15.2705,13.8533,13.4428,13.2818,12.9906,0.358,0.188,1937
140,2,1.484,2.069,2.308,2.392,0.584,0.824,0.908,0.24,0.324,0.084,0.363,0.362,0.363,0.376,0.049,0.05,0.112,0.046,0.11,0.111,0,14.6388,12.5593,11.3913,10.756,10.2491,0.636,0.473,1233
141,2,2.284,2.55,2.693,1.821,0.267,0.41,-0.462,0.143,-0.729,-0.872,0.997,1,1.006,1.194,0.184,0.215,0.678,0.225,0.681,0.69,0,15.5901,14.5464,14.6381,14.4429,15.2729,0.505,0.909,2254
142,-11,0.275,0.353,0.462,0.693,0.078,0.187,0.417,0.109,0.34,0.23,0.05,0.051,0.055,0.088,0.024,0.03,0.076,0.033,0.077,0.079,0,15.0461,13.538,12.9583,12.5562,12.5566,0.853,0.61,1534
143,6,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,15.6783,14.5455,14.0843,13.7915,13.71,0.663,0.349,2810
144,6,1.487,2.216,2.638,2.877,0.729,1.15,1.39,0.422,0.661,0.24,0.044,0.044,0.044,0.044,0.008,0.007,0.011,0.006,0.01,0.01,0,13.9977,12.1013,11.1892,10.6751,10.2886,0.525,0.077,767
145,6,0.977,1.453,1.692,1.807,0.476,0.715,0.83,0.239,0.354,0.115,0.283,0.282,0.283,0.319,0.061,0.064,0.16,0.063,0.159,0.16,0,15.2766,13.6849,12.9423,12.6115,12.415,0.344,0.471,3726
146,2,1.069,1.854,2.218,2.421,0.785,1.15,1.352,0.365,0.567,0.202,0.268,0.267,0.267,0.281,0.045,0.047,0.099,0.04,0.096,0.097,0,14.9242,13.0104,12.1596,11.6589,11.332,0.479,0.406,1980
147,3,0.554,0.852,0.908,1.008,0.297,0.353,0.453,0.056,0.156,0.1,0.016,0.015,0.016,0.019,0.006,0.007,0.013,0.007,0.013,0.013,0,13.4488,12.4199,11.9556,11.6302,11.6736,0.776,0.032,543
148,2,1.165,1.681,1.957,2.171,0.517,0.792,1.006,0.276,0.489,0.213,0.03,0.03,0.03,0.032,0.007,0.007,0.012,0.006,0.011,0.011,0,14.4822,13.329,12.6843,12.3248,12.2255,0.667,0.175,863
149,2,1.201,1.623,1.894,1.917,0.422,0.693,0.717,0.271,0.294,0.024,0.159,0.159,0.159,0.192,0.032,0.034,0.113,0.034,0.113,0.113,0,14.4528,12.9834,12.3622,12.0558,11.9646,0.611,0.154,1013
150,2,0.995,1.308,1.345,1.688,0.313,0.35,0.693,0.037,0.38,0.343,0.154,0.154,0.157,0.188,0.038,0.047,0.114,0.048,0.115,0.118,0,13.6224,11.8041,10.8934,10.3899,9.9919,0.467,0.275,877
151,-11,1.111,1.592,1.818,2.069,0.481,0.708,0.958,0.227,0.477,0.25,0.058,0.058,0.059,0.066,0.015,0.016,0.034,0.015,0.034,0.034,0,14.7347,13.2668,12.4106,12.1021,11.7414,0.88,0.331,3039
152,2,2.085,3.071,3.387,3.116,0.987,1.303,1.031,0.316,0.044,-0.272,0.643,0.642,0.643,0.677,0.062,0.067,0.222,0.055,0.218,0.22,0,15.7261,13.4676,12.3523,11.7295,11.2238,0.182,0.756,1115
153,2,0.599,0.866,1.02,1.11,0.267,0.421,0.511,0.154,0.244,0.09,0.026,0.026,0.026,0.031,0.009,0.009,0.018,0.009,0.018,0.018,0,13.1006,11.8112,11.0556,10.5796,10.253,0.87,0.238,2412
154,4,0.821,1.027,0.555,1.297,0.206,-0.266,0.476,-0.471,0.27,0.742,1.005,1.016,1.113,1.261,0.321,0.557,0.814,0.576,0.826,0.944,0,14.793,12.8345,12.0603,11.431,11.0655,0.302,1.553,2555
155,2,1.223,1.705,2.009,1.878,0.482,0.786,0.655,0.304,0.173,-0.131,0.321,0.321,0.321,0.386,0.06,0.063,0.224,0.062,0.224,0.224,0,15.5458,14.1805,13.4429,13.0872,12.8435,0.878,0.7,4279
156,1,1.028,1.505,1.744,1.78,0.476,0.716,0.751,0.239,0.275,0.036,0.228,0.227,0.229,0.266,0.045,0.05,0.145,0.05,0.144,0.146,0,15.7469,14.5657,14.0709,13.7953,13.6828,0.273,0.761,2227
157,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,99,99,99,99,0.438,0.474,4721
158,2,0.91,1.456,1.637,1.785,0.546,0.727,0.875,0.181,0.329,0.148,0.036,0.036,0.036,0.04,0.011,0.012,0.022,0.01,0.021,0.022,0,99,99,99,99,99,0.65,0.189,805
159,1,1.272,1.938,2.337,2.588,0.666,1.065,1.316,0.399,0.65,0.252,0.069,0.068,0.068,0.072,0.014,0.014,0.025,0.013,0.024,0.024,0,14.2345,12.2524,11.7461,11.3074,11.0257,0.402,0.224,2232
160,1,0.717,1.372,2.041,1.91,0.655,1.324,1.193,0.669,0.538,-0.131,0.729,0.727,0.724,0.878,0.19,0.18,0.528,0.173,0.525,0.522,0,15.7898,14.1136,13.3321,12.931,12.6953,0.333,0.945,4678
161,2,1.262,1.848,2.215,2.331,0.585,0.953,1.069,0.367,0.484,0.116,0.12,0.119,0.119,0.123,0.02,0.019,0.038,0.017,0.037,0.037,0,13.6654,11.6901,10.8517,10.3898,10.0991,0.797,0.26,1518
162,1,-0.572,0.02,0.999,1.932,0.593,1.571,2.504,0.979,1.912,0.933,0.824,0.853,0.777,0.85,0.633,0.525,0.628,0.57,0.666,0.564,0,15.9042,14.1485,13.3761,12.9865,12.7096,0.963,3.268,5856
163,2,1.419,2.145,2.552,2.693,0.726,1.133,1.274,0.407,0.548,0.141,0.09,0.09,0.09,0.094,0.015,0.015,0.031,0.013,0.03,0.03,0,14.456,12.5638,11.7482,11.2517,11.0586,0.5,0.171,1040
164,1,0.752,1.41,1.714,2.156,0.657,0.962,1.403,0.304,0.746,0.442,0.548,0.536,0.539,0.574,0.173,0.182,0.269,0.144,0.245,0.252,0,15.7411,13.9098,13.1245,12.7046,12.3736,1,0.748,5274
165,3,0.996,1.558,1.785,1.915,0.562,0.789,0.919,0.227,0.357,0.13,0.054,0.053,0.054,0.061,0.015,0.016,0.032,0.014,0.032,0.032,0,14.1455,13.1159,12.5789,12.3332,12.1082,0.748,0.206,1862
166,6,0.27,0.386,0.281,0.369,0.116,0.011,0.099,-0.105,-0.017,0.088,0.023,0.024,0.025,0.038,0.011,0.013,0.031,0.013,0.031,0.032,0,13.8,12.9928,12.5826,12.413,12.2991,0.357,0.495,3272
167,1,0.966,1.276,1.651,2.14,0.309,0.685,1.174,0.376,0.864,0.489,0.341,0.344,0.347,0.41,0.08,0.093,0.238,0.102,0.242,0.246,0,15.0644,13.3606,12.7075,12.2186,11.9871,1,0.58,2514
168,1,1.022,1.495,1.754,1.943,0.473,0.732,0.921,0.259,0.448,0.188,0.023,0.023,0.023,0.024,0.006,0.006,0.011,0.006,0.011,0.011,0,13.2446,11.315,10.3973,9.9291,9.71,0.462,0.192,726
169,7,0.614,0.978,1.05,1.16,0.364,0.436,0.547,0.072,0.182,0.11,0.034,0.034,0.035,0.047,0.013,0.016,0.034,0.015,0.034,0.035,0,16.1849,14.9764,14.4517,14.2441,14.1502,0.292,0.018,1882
170,2,1.214,1.788,2.116,1.1,0.574,0.901,-0.115,0.328,-0.688,-1.016,0.929,0.928,0.933,1.376,0.184,0.208,1.033,0.203,1.032,1.036,0,16.1996,15.2401,14.8059,14.581,14.9531,0.867,0.631,2771
171,2,0.705,1.211,1.57,2.041,0.506,0.865,1.336,0.359,0.83,0.471,0.507,0.5,0.502,0.546,0.176,0.183,0.282,0.16,0.268,0.272,0,14.9529,13.1975,12.3838,11.9909,11.6809,0.875,0.676,2386
172,1,1.158,1.716,2.078,2.249,0.558,0.92,1.091,0.362,0.533,0.171,0.083,0.082,0.082,0.085,0.016,0.015,0.028,0.014,0.027,0.027,0,13.6654,11.6901,10.8546,10.3931,10.085,0.797,0.222,1518
173,2,0.926,1.265,1.409,1.473,0.339,0.483,0.547,0.144,0.208,0.064,0.068,0.068,0.069,0.079,0.018,0.021,0.043,0.021,0.043,0.044,0,15.4466,13.6615,12.6714,12.1796,11.7603,0.564,0.407,4249
174,2,0.983,1.515,1.584,2.464,0.532,0.601,1.48,0.069,0.948,0.879,0.833,0.832,0.841,0.871,0.199,0.234,0.324,0.23,0.321,0.344,0,15.436,14.0112,13.2431,12.8277,12.6064,0.757,1.093,4786
175,6,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,99,99,99,99,0.216,0.06,838
176,6,0.293,0.366,0.469,0.409,0.073,0.176,0.116,0.102,0.042,-0.06,0.079,0.08,0.084,0.149,0.041,0.048,0.133,0.05,0.133,0.136,0,15.7566,14.9247,14.6625,14.553,14.4861,0.636,0.22,2102
177,3,1.247,2.144,2.554,2.842,0.897,1.307,1.595,0.41,0.698,0.288,0.039,0.038,0.038,0.039,0.009,0.009,0.013,0.007,0.011,0.011,0,14.6169,12.8401,11.79,11.2287,10.8681,0.231,0.091,2255
178,2,1.132,1.718,2.035,2.115,0.586,0.903,0.983,0.317,0.397,0.08,0.088,0.088,0.088,0.098,0.017,0.018,0.048,0.017,0.047,0.048,0,14.1893,12.7715,12.1895,11.7074,11.7888,0.318,0.156,1241
179,2,1.369,2.035,2.405,2.628,0.666,1.037,1.26,0.37,0.593,0.223,0.072,0.072,0.072,0.076,0.012,0.013,0.027,0.011,0.026,0.026,0,13.7957,12.4723,11.6888,11.2957,11.0789,0.514,0.136,1580
180,1,0.441,0.842,1.317,1.795,0.402,0.876,1.354,0.474,0.953,0.478,0.681,0.685,0.688,0.79,0.235,0.243,0.458,0.252,0.463,0.467,0,15.9296,14.323,13.5074,13.0562,12.7996,0.778,1.648,4328
181,1,0.402,0.768,1.149,1.277,0.366,0.747,0.874,0.381,0.508,0.128,0.36,0.36,0.361,0.423,0.139,0.141,0.262,0.14,0.262,0.263,0,14.4423,12.6547,11.887,11.4857,11.1661,0.679,0.76,998
182,3,0.362,0.526,0.51,0.691,0.165,0.149,0.329,-0.016,0.165,0.18,0.102,0.103,0.109,0.176,0.037,0.053,0.148,0.055,0.149,0.153,0,99,99,99,99,99,0.571,0.712,3206
183,-11,1.611,2.377,2.788,3.016,0.766,1.176,1.405,0.41,0.639,0.229,0.112,0.112,0.112,0.114,0.02,0.02,0.031,0.015,0.028,0.028,0,14.894,13.0539,12.301,11.9075,11.5955,0.643,0.343,1808
184,2,1.296,1.826,2.184,2.349,0.53,0.888,1.053,0.359,0.523,0.165,0.163,0.162,0.163,0.171,0.028,0.031,0.06,0.029,0.059,0.06,0,16.0893,13.8979,12.7572,12.1367,11.5847,0.379,0.297,723
185,2,1.032,1.361,1.59,1.502,0.329,0.558,0.47,0.229,0.141,-0.089,0.542,0.543,0.543,0.65,0.109,0.112,0.375,0.115,0.376,0.377,0,15.1932,13.7906,12.9618,12.5579,12.411,0.844,0.67,3360
186,1,0.834,1.004,1.608,2.718,0.17,0.774,1.884,0.604,1.714,1.11,0.596,0.602,0.607,0.614,0.18,0.196,0.216,0.214,0.233,0.245,0,14.8467,13.5884,13.0016,12.7832,12.352,0.32,0.922,2169
187,3,0.328,0.439,0.405,0.49,0.111,0.077,0.162,-0.034,0.051,0.085,0.006,0.006,0.006,0.008,0.003,0.003,0.005,0.003,0.005,0.006,0,12.6644,11.7372,11.3578,11.9901,11.0903,0.774,0.094,989
188,10,1.059,1.573,2.028,2.344,0.515,0.97,1.285,0.455,0.77,0.315,0.193,0.192,0.193,0.212,0.038,0.039,0.097,0.038,0.097,0.097,0,15.1122,12.8527,11.5001,10.7691,10.1956,0.339,0.267,1732
189,1,0.619,0.855,0.856,0.825,0.236,0.237,0.206,0,-0.03,-0.031,0.091,0.092,0.095,0.149,0.029,0.037,0.121,0.038,0.121,0.123,0,16.2155,15.0747,14.5945,14.7627,14.355,1,0.81,3300
190,1,1.235,1.801,2.165,2.292,0.566,0.93,1.056,0.364,0.49,0.126,0.274,0.273,0.274,0.301,0.045,0.047,0.133,0.045,0.133,0.133,0,15.4074,13.5811,13.2994,13.5392,11.9412,0.808,0.432,2949
191,9,1.602,2.394,2.79,2.986,0.792,1.188,1.384,0.397,0.592,0.196,0.19,0.19,0.19,0.193,0.022,0.021,0.04,0.017,0.038,0.038,0,12.1648,10.7669,9.9142,9.4853,9.1618,0.862,0.293,913
192,1,1.744,2.505,2.895,3.147,0.761,1.151,1.403,0.39,0.642,0.252,0.177,0.177,0.177,0.181,0.018,0.019,0.044,0.017,0.043,0.043,0,15.2066,13.356,12.498,12.0819,11.8145,0.786,0.168,4796
193,2,1.179,1.609,1.884,2.183,0.43,0.705,1.003,0.275,0.574,0.299,0.113,0.114,0.114,0.128,0.026,0.029,0.064,0.029,0.064,0.065,0,14.7347,13.2668,12.4171,12.1021,11.7768,0.88,0.387,3039
194,1,1.052,1.703,1.993,2.206,0.651,0.941,1.154,0.29,0.503,0.213,0.054,0.054,0.054,0.059,0.012,0.012,0.027,0.011,0.026,0.027,0,13.7957,12.4761,11.6888,11.2957,11.0789,0.514,0.291,1580
195,2,0.129,0.955,1.507,1.57,0.826,1.378,1.441,0.552,0.615,0.063,0.299,0.291,0.291,0.372,0.121,0.12,0.262,0.1,0.253,0.252,0,13.8376,12.4645,11.6711,11.3156,10.9326,0.568,0.535,1789
196,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,15.9117,14.6719,13.9884,13.7121,13.8322,1,0.589,1270
197,2,1.314,1.957,2.319,2.572,0.643,1.005,1.258,0.363,0.615,0.252,0.138,0.138,0.138,0.142,0.021,0.021,0.038,0.018,0.037,0.036,0,14.5616,13.279,12.472,12.0623,11.8143,0.806,0.233,2396
198,6,0.907,1.525,1.781,2.005,0.618,0.874,1.098,0.256,0.48,0.224,0.024,0.024,0.023,0.025,0.007,0.007,0.011,0.006,0.01,0.01,0,13.8296,13.2083,12.6057,12.4505,12.056,0.833,0.144,3033
199,1,0.359,1.045,1.376,1.731,0.686,1.017,1.372,0.33,0.685,0.355,0.606,0.601,0.603,0.683,0.201,0.207,0.381,0.192,0.373,0.377,0,14.9654,13.1706,12.3692,11.9898,11.7151,0.647,0.983,3785
200,2,0.794,1.359,1.772,1.944,0.565,0.978,1.151,0.413,0.586,0.172,0.133,0.132,0.132,0.142,0.034,0.032,0.061,0.029,0.059,0.058,0,13.8296,13.2083,12.6057,12.4505,12.056,0.833,0.596,3033
201,1,1.781,2.555,3.036,3.338,0.773,1.254,1.557,0.481,0.783,0.303,0.14,0.14,0.14,0.143,0.016,0.016,0.033,0.015,0.032,0.032,0,13.234,11.4765,10.6585,10.2152,9.8167,0.767,0.288,1354
202,1,1.832,2.653,3.098,3.402,0.822,1.266,1.57,0.444,0.749,0.304,0.025,0.025,0.025,0.025,0.004,0.004,0.006,0.003,0.005,0.005,0,12.6719,10.79,10.0288,9.9875,9.1956,0.333,0.054,450
203,2,2.645,2.686,1.799,3.329,0.04,-0.846,0.684,-0.886,0.643,1.529,0.617,0.639,0.87,0.952,0.261,0.645,0.752,0.667,0.77,0.971,0,15.6035,14.4206,13.9381,13.6166,13.5539,0.686,1.065,1078
204,1,0.552,0.918,1.265,1.463,0.366,0.713,0.912,0.347,0.545,0.198,0.279,0.28,0.281,0.341,0.078,0.082,0.21,0.084,0.211,0.212,0,15.5663,13.9274,13.1501,12.7529,12.387,0.571,0.356,4550
205,7,1.157,1.777,2.089,2.24,0.62,0.932,1.084,0.312,0.463,0.152,0.079,0.078,0.079,0.088,0.017,0.018,0.044,0.017,0.043,0.044,0,17.7041,16.556,15.0261,15.0451,14.7014,0.804,0.324,1226
206,4,1.456,2.026,2.344,2.517,0.57,0.888,1.061,0.318,0.491,0.173,0.095,0.095,0.095,0.101,0.018,0.02,0.039,0.018,0.038,0.039,0,14.8139,12.8761,11.9918,11.5465,11.2522,0.795,0.276,2554
207,2,1.044,1.262,1.491,1.582,0.218,0.448,0.539,0.23,0.321,0.091,0.115,0.115,0.114,0.131,0.022,0.015,0.065,0.016,0.065,0.063,0,17.2644,15.8235,15.4126,15.1046,14.965,0.192,0.186,5311
208,1,0.691,0.985,1.302,1.419,0.294,0.61,0.728,0.317,0.434,0.118,0.233,0.234,0.235,0.278,0.062,0.065,0.161,0.069,0.163,0.164,0,14.0719,12.7813,12.0166,11.6864,11.5961,0.563,0.319,1282
209,4,1.212,1.58,1.946,2.248,0.368,0.734,1.036,0.366,0.668,0.302,0.251,0.251,0.252,0.27,0.054,0.059,0.112,0.059,0.112,0.115,0,16.2735,15.4344,14.9655,14.6621,14.2872,0.743,0.477,2560
210,1,-0.153,0.35,0.937,0.592,0.504,1.091,0.746,0.587,0.242,-0.345,0.548,0.54,0.529,0.68,0.265,0.244,0.491,0.225,0.482,0.47,0,14.9526,12.9401,12.1055,11.5917,11.0127,0.731,1.176,1967
211,3,1.326,2.038,2.405,2.681,0.712,1.079,1.355,0.368,0.643,0.276,0.041,0.041,0.041,0.042,0.008,0.008,0.013,0.007,0.012,0.012,0,15.5161,13.466,12.7662,12.3732,12.1239,0.313,0.261,1514
212,7,0.897,1.195,1.34,1.426,0.299,0.443,0.53,0.145,0.231,0.087,0.065,0.065,0.063,0.075,0.017,0.012,0.041,0.012,0.041,0.04,0,15.6292,14.1547,13.1801,13.0261,12.7522,1,0.506,4873
213,2,0.522,0.868,0.916,1.022,0.346,0.394,0.5,0.048,0.154,0.106,0.048,0.048,0.047,0.063,0.016,0.011,0.043,0.011,0.043,0.042,0,14.4282,13.358,12.9854,12.7367,12.5508,0.211,0.336,1419
214,2,0.944,1.046,1.389,0.64,0.102,0.445,-0.304,0.343,-0.406,-0.749,0.341,0.344,0.35,0.659,0.118,0.135,0.575,0.141,0.576,0.58,0,16.3872,14.5997,14.3152,14.1928,14.1771,0.2,0.586,2972
215,2,0.827,1.32,1.521,1.658,0.493,0.693,0.83,0.2,0.337,0.137,0.074,0.074,0.074,0.081,0.018,0.018,0.038,0.017,0.037,0.037,0,13.6583,12.6634,12.0303,11.707,11.475,0.481,0.256,1517
216,-11,1.623,2.444,2.909,3.192,0.821,1.286,1.569,0.465,0.748,0.283,0.439,0.439,0.438,0.446,0.049,0.04,0.093,0.028,0.088,0.084,0,14.409,12.3087,11.4543,11.0025,10.6335,0.542,0.404,5291
217,2,1.413,1.944,2.235,2.402,0.531,0.822,0.989,0.291,0.457,0.167,0.245,0.245,0.244,0.254,0.033,0.025,0.076,0.022,0.075,0.071,0,16.2181,14.8697,14.2269,13.9119,13.6122,0.714,0.569,4748
218,2,0.312,0.245,0.064,0.349,-0.067,-0.248,0.037,-0.18,0.105,0.285,0.106,0.111,0.103,0.224,0.046,0.025,0.2,0.039,0.203,0.199,0,16.7066,15.8105,15.6218,15.6034,15.5441,0.418,0.685,5700
219,2,1.287,1.673,1.885,1.862,0.386,0.599,0.575,0.213,0.189,-0.024,1.909,1.907,1.907,1.912,0.107,0.09,0.174,0.057,0.159,0.148,0,17.5116,15.969,15.5701,15.4945,13.5263,0.743,0.305,1483
