object number,1kind,2UG,3UR,4UI,5UZ,6GR,7GI,8GZ,9RI,10RZ,11IZ,12UGER,13URER,14UIER,15UZER,16GRER,17GIER,18GZER,19RIER,20RZER,21IZER,22contamination?,23ugal,24g gal,25r gal,26i gal,27z gal,33gal ratio,34fdistance,37HRV
26,2,0.845,1.195,1.107,1.763,0.35,0.262,0.917,-0.089,0.567,0.656,0.609,0.614,0.643,0.74,0.187,0.266,0.452,0.278,0.459,0.497,0,14.7049,13.4517,12.6506,12.4345,12.1814,0.925,0.697,605
27,-11,1.465,2.192,2.566,2.714,0.726,1.1,1.248,0.374,0.522,0.148,0.044,0.044,0.044,0.046,0.008,0.008,0.014,0.007,0.013,0.013,0,99,99,99,99,99,0.793,0.143,472
28,6,1.052,1.716,2.005,2.218,0.664,0.953,1.166,0.289,0.502,0.213,0.112,0.111,0.112,0.119,0.024,0.026,0.049,0.024,0.048,0.049,0,15.329,13.7401,13.0239,12.6612,12.4594,0.817,0.303,5710
29,2,1.023,1.434,1.687,1.856,0.411,0.664,0.833,0.253,0.422,0.169,0.031,0.031,0.031,0.035,0.009,0.01,0.02,0.009,0.019,0.02,0,13.7876,12.6392,12.1061,11.8873,11.6119,0.387,0.098,1715
30,2,0.478,0.944,1.288,1.323,0.466,0.809,0.845,0.344,0.379,0.035,0.624,0.624,0.626,0.751,0.195,0.202,0.461,0.201,0.46,0.463,0,14.2577,13.0226,12.729,11.8304,11.531,0.857,1.017,1300
31,6,-1.634,-1.227,-0.604,1.511,0.407,1.029,3.144,0.623,2.737,2.115,0.889,0.962,1,0.968,0.769,0.816,0.776,0.895,0.859,0.901,0,13.6224,11.8041,10.8934,10.3899,9.9919,0.467,0.666,877
32,6,0.756,1.718,1.139,3.046,0.962,0.383,2.29,-0.579,1.328,1.907,1.072,1.019,1.131,1.074,0.647,0.812,0.73,0.74,0.65,0.814,0,15.6438,14.3873,13.9401,13.6702,13.8219,0.524,1.612,1231
33,6,0.975,1.517,2.03,2.516,0.542,1.055,1.541,0.513,0.999,0.486,0.31,0.309,0.309,0.318,0.067,0.068,0.102,0.064,0.099,0.1,0,15.3761,13.9185,12.8255,12.3681,12.0688,0.5,0.825,4751
34,6,1.666,2.388,2.824,2.986,0.721,1.158,1.32,0.437,0.599,0.162,0.116,0.116,0.116,0.119,0.017,0.017,0.034,0.015,0.033,0.033,0,15.0086,13.2764,12.6343,12.1107,11.9163,0.867,0.189,2069
35,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,13.6122,12.1906,11.5086,11.2771,10.8658,0.934,0.264,240
36,6,0.741,0.967,1.136,1.037,0.226,0.395,0.296,0.169,0.071,-0.099,0.092,0.092,0.093,0.142,0.027,0.03,0.112,0.031,0.112,0.113,0,14.2951,12.9291,12.3949,12.0947,12.157,0.909,0.294,1583
37,3,0.738,0.702,0.753,0.766,-0.035,0.015,0.028,0.05,0.064,0.013,0.561,0.579,0.639,0.836,0.269,0.381,0.66,0.407,0.675,0.727,0,99,99,99,99,99,0.776,0.855,298
38,1,1.016,1.393,1.553,1.832,0.376,0.536,0.816,0.16,0.44,0.279,0.097,0.097,0.097,0.113,0.022,0.024,0.061,0.024,0.061,0.062,0,14.2951,12.9291,12.3949,12.0947,12.157,0.909,0.204,1583
39,2,1.097,1.551,1.902,2.105,0.453,0.805,1.007,0.352,0.554,0.202,0.061,0.06,0.06,0.064,0.014,0.014,0.026,0.013,0.026,0.026,0,13.9105,12.434,11.7268,11.3844,11.0792,0.27,0.095,771
40,6,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,99,99,99,99,0.562,0.151,130
41,6,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,99,99,99,99,0.66,0.779,1636
42,6,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,99,99,99,99,99,0.372,1.802,1540
43,6,1.088,1.685,1.924,2.176,0.597,0.836,1.088,0.239,0.491,0.252,0.563,0.557,0.56,0.596,0.137,0.149,0.253,0.125,0.239,0.246,0,99,99,99,99,99,0.875,1.017,5534
44,6,1.394,1.983,2.338,2.449,0.589,0.943,1.055,0.355,0.466,0.112,0.252,0.252,0.252,0.263,0.038,0.042,0.085,0.039,0.084,0.085,0,14.9018,13.2493,11.8769,11.2333,10.8887,0.133,0.429,775
45,6,2.436,3.147,3.61,3.72,0.711,1.174,1.284,0.463,0.573,0.11,0.73,0.73,0.73,0.734,0.041,0.041,0.085,0.036,0.082,0.082,0,15.0653,13.0769,12.2062,11.7787,11.4655,0.789,0.373,4548
46,6,-2.041,-0.626,0.258,1.493,1.415,2.299,3.534,0.884,2.119,1.235,0.87,0.994,0.994,1.094,0.764,0.764,0.891,0.902,1.012,1.012,0,15.1807,14.098,13.7171,13.5257,13.3919,0.571,4.103,2240
47,6,1.112,1.736,2.076,2.225,0.624,0.964,1.113,0.34,0.489,0.149,0.277,0.276,0.277,0.292,0.052,0.056,0.109,0.052,0.107,0.109,0,15.3761,13.9185,12.8255,12.3681,12.0688,0.5,0.861,4751
48,1,1.547,2.185,2.55,2.856,0.638,1.004,1.31,0.366,0.672,0.306,0.23,0.23,0.23,0.234,0.028,0.029,0.053,0.026,0.051,0.052,0,14.582,12.5116,11.636,11.1398,10.8397,0.618,0.279,1048
49,14,0.499,1.1,1.52,1.638,0.601,1.021,1.139,0.42,0.539,0.118,0.194,0.192,0.193,0.238,0.064,0.065,0.155,0.06,0.153,0.153,0,13.4111,11.5206,10.6507,10.2151,9.8721,0.432,0.551,638
50,1,1.641,2.389,2.796,2.992,0.747,1.155,1.351,0.407,0.604,0.197,0.13,0.13,0.13,0.132,0.016,0.015,0.028,0.013,0.027,0.026,0,12.1648,10.7669,9.9142,9.4853,9.1618,0.862,0.243,913
51,6,0.913,1.486,1.7,2.029,0.574,0.788,1.117,0.214,0.543,0.329,0.396,0.394,0.401,0.455,0.098,0.123,0.246,0.119,0.244,0.255,0,15.6065,13.7593,12.9194,12.5378,12.3155,0.88,0.671,5457
52,-11,1.264,1.979,2.312,2.54,0.715,1.048,1.276,0.333,0.561,0.228,0.103,0.102,0.102,0.106,0.02,0.021,0.034,0.018,0.032,0.032,0,13.8408,12.3408,11.5113,11.0826,10.7452,0.851,0.274,1587
53,6,1.161,1.394,1.418,1.807,0.233,0.257,0.646,0.024,0.413,0.389,0.545,0.546,0.551,0.603,0.113,0.136,0.28,0.143,0.283,0.293,0,16.1288,14.7214,14.1188,13.7973,13.6927,0.933,0.702,5037
54,1,0.89,1.262,1.42,1.569,0.372,0.53,0.679,0.158,0.308,0.15,0.144,0.143,0.145,0.169,0.044,0.049,0.1,0.046,0.099,0.101,0,15.0748,13.899,13.2795,12.8712,12.8189,0.8,0.414,1731
55,14,0.869,1.561,1.705,2.04,0.692,0.836,1.171,0.144,0.479,0.335,0.68,0.678,0.684,0.789,0.149,0.173,0.43,0.163,0.426,0.436,0,14.6283,12.8335,11.9805,11.5374,11.1671,0.237,1.008,558
56,1,1.121,1.707,2.137,2.186,0.585,1.016,1.065,0.43,0.479,0.049,0.184,0.183,0.184,0.2,0.037,0.04,0.09,0.037,0.089,0.09,0,13.7767,12.2108,11.5444,10.9973,10.6089,0.775,0.606,751
57,2,0.287,0.389,0.342,0.455,0.102,0.055,0.168,-0.046,0.066,0.112,0.021,0.021,0.023,0.037,0.01,0.012,0.032,0.013,0.032,0.033,0,14.8572,13.5684,12.9326,12.5749,12.4065,0.224,0.192,1481
58,1,1.803,2.607,2.981,3.279,0.804,1.178,1.476,0.374,0.672,0.298,0.017,0.017,0.017,0.017,0.003,0.003,0.004,0.003,0.004,0.004,0,13.9517,12.0055,11.2372,10.7181,10.4571,0.429,0.044,1124
59,2,0.262,0.396,0.44,0.581,0.135,0.178,0.319,0.044,0.185,0.141,0.038,0.039,0.04,0.061,0.016,0.018,0.05,0.019,0.05,0.051,0,13.9233,12.3872,11.4757,11.0193,10.7094,0.892,0.429,1574
60,6,1.01,1.586,1.817,2.007,0.576,0.807,0.997,0.231,0.421,0.19,0.23,0.229,0.23,0.249,0.043,0.046,0.106,0.044,0.105,0.106,0,15.0581,13.4236,12.8345,12.3664,12.0804,0.219,0.574,4105
